Office Name|Job Code|Job Title|Base Pay|Position ID|Employee Identifier|Original Hire Date
STATES ATTORNEY|1172|Assistant State's Attorney| $20,088.00 |9510200|6ac7ba3e-d286-44f5-87a0-191dc415e23c|5/16/05
STATES ATTORNEY|1172|Assistant State's Attorney| $23,436.00 |9510200|6ac7ba3e-d286-44f5-87a0-191dc415e23c|5/16/05
STATES ATTORNEY|1172|Assistant State's Attorney| $20,422.82 |9510200|6ac7ba3e-d286-44f5-87a0-191dc415e23c|5/16/05
STATES ATTORNEY|1172|Assistant State's Attorney| $23,904.80 |9510200|6ac7ba3e-d286-44f5-87a0-191dc415e23c|5/16/05
STATES ATTORNEY|1172|Assistant State's Attorney| $20,745.80 |9510200|6ac7ba3e-d286-44f5-87a0-191dc415e23c|5/16/05
STATES ATTORNEY|1172|Assistant State's Attorney| $24,473.38 |9510200|6ac7ba3e-d286-44f5-87a0-191dc415e23c|5/16/05
STATES ATTORNEY|1172|Assistant State's Attorney| $21,217.35 |9510200|6ac7ba3e-d286-44f5-87a0-191dc415e23c|5/16/05
COUNTY ASSESSOR|5049|Residential Model Sr Anal III| $17,770.86 |9500731|f313b1c3-1b1a-4b07-bb75-a8c850a91bac|9/28/98
COUNTY ASSESSOR|5049|Residential Model Sr Anal III| $20,800.67 |9500731|f313b1c3-1b1a-4b07-bb75-a8c850a91bac|9/28/98
COUNTY ASSESSOR|5049|Residential Model Sr Anal III| $17,873.76 |9500731|f313b1c3-1b1a-4b07-bb75-a8c850a91bac|9/28/98
COUNTY ASSESSOR|5049|Residential Model Sr Anal III| $20,904.80 |9500731|f313b1c3-1b1a-4b07-bb75-a8c850a91bac|9/28/98
COUNTY ASSESSOR|5049|Residential Model Sr Anal III| $18,254.40 |9500731|f313b1c3-1b1a-4b07-bb75-a8c850a91bac|9/28/98
COUNTY ASSESSOR|5049|Residential Model Sr Anal III| $21,375.20 |9500731|f313b1c3-1b1a-4b07-bb75-a8c850a91bac|9/28/98
COUNTY ASSESSOR|5049|Residential Model Sr Anal III| $18,626.76 |9500731|f313b1c3-1b1a-4b07-bb75-a8c850a91bac|9/28/98
COUNTY ASSESSOR|5049|Residential Model Sr Anal III| $21,802.46 |9500731|f313b1c3-1b1a-4b07-bb75-a8c850a91bac|9/28/98
PROVIDENT HOSPITAL|1642|Attending Physician XII| $57,692.40 |1100069|f888af25-5b0d-457a-83cc-3415f03ed7c6|12/16/13
PROVIDENT HOSPITAL|1642|Attending Physician XII| $67,307.80 |1100069|f888af25-5b0d-457a-83cc-3415f03ed7c6|12/16/13
PROVIDENT HOSPITAL|1642|Attending Physician XII| $57,692.40 |1100069|f888af25-5b0d-457a-83cc-3415f03ed7c6|12/16/13
PROVIDENT HOSPITAL|1642|Attending Physician XII| $67,307.80 |1100069|f888af25-5b0d-457a-83cc-3415f03ed7c6|12/16/13
PROVIDENT HOSPITAL|1642|Attending Physician XII| $57,692.28 |1100069|f888af25-5b0d-457a-83cc-3415f03ed7c6|12/16/13
PROVIDENT HOSPITAL|1642|Attending Physician XII| $67,307.66 |1100069|f888af25-5b0d-457a-83cc-3415f03ed7c6|12/16/13
PROVIDENT HOSPITAL|1642|Attending Physician XII| $57,692.28 |1100069|f888af25-5b0d-457a-83cc-3415f03ed7c6|12/16/13
PROVIDENT HOSPITAL|1642|Attending Physician XII| $67,824.96 |1100069|f888af25-5b0d-457a-83cc-3415f03ed7c6|12/16/13
